Model,Display name,eci,eci_ci_low,eci_ci_high,date,Organization,Country (of organization),Model accessibility,Accessibility group,model_versions
GPT-5.3 Codex,GPT-5.3 Codex,156.84,153.79,160.44,2026-02-05,OpenAI,United States of America,API access,Closed weights,
Qwen 3.8 Max,Qwen 3.8 Max,156.69,154.56,158.97,2026-08-02,Alibaba,China,API access,Closed weights,
Grok 4.6,Grok 4.6,156.48,154.62,158.98,2026-08-12,xAI,United States of America,API access,Closed weights,
Claude Opus 4.7,Claude Opus 4.7,156.39,154.45,158.46,2026-04-16,Anthropic,United States of America,API access,Closed weights,
Claude Sonnet 5,Claude Sonnet 5,156.34,153.45,159.15,2026-06-30,Anthropic,United States of America,API access,Closed weights,
GPT-5.6 Luna,GPT-5.6 Luna,156.32,153.58,158.86,2026-07-09,OpenAI,United States of America,API access,Closed weights,
GLM-5.3,GLM-5.3,155.56,153.6,157.99,2026-08-14,Z.ai (Zhipu AI),China,API access,Closed weights,
GPT-5.2 Pro,GPT-5.2 Pro,155.41,152.84,158.35,2025-12-11,OpenAI,United States of America,API access,Closed weights,
DeepSeek V4 Pro 0813,DeepSeek V4 Pro 0813,155.39,153.7,157.31,2026-08-13,DeepSeek,China,Open weights (unrestricted),Open weights,
Claude Opus 4.6,Claude Opus 4.6,155.36,153.42,157.1,2026-02-05,Anthropic,United States of America,API access,Closed weights,
Qwen3.8 Max (0902),Qwen3.8 Max (0902),155.28,153.41,157.27,2026-09-01,Alibaba,China,API access,Closed weights,
Muse Spark 1.2,Muse Spark 1.2,155.18,153.22,158.13,2026-08-05,Meta AI,United States of America,API access,Closed weights,
DeepSeek V4.1 Flash,DeepSeek V4.1 Flash,155.01,148.52,157.5,2026-09-09,DeepSeek,China,Open weights (unrestricted),Open weights,
Gemini 3.1 Pro,Gemini 3.1 Pro,154.92,152.8,157.58,2026-02-19,Google DeepMind,United States of America,API access,Closed weights,
Gemini 3.5 Flash,Gemini 3.5 Flash,154.55,152.57,157.16,2026-05-19,Google DeepMind,United States of America,API access,Closed weights,
DeepSeek V4 Flash 0731,DeepSeek V4 Flash 0731,154.51,152.11,156.48,2026-07-31,DeepSeek,China,Open weights (unrestricted),Open weights,
Gemini 3.6 Flash,Gemini 3.6 Flash,154.36,152.66,156.25,2026-07-21,Google DeepMind,United States of America,API access,Closed weights,
Muse Spark 1.1,Muse Spark 1.1,154.32,151.63,157.29,2026-07-09,Meta AI,United States of America,API access,Closed weights,
Grok 4.5,Grok 4.5,154.02,152.27,156.09,2026-07-08,xAI,United States of America,API access,Closed weights,
Qwen3.7-Max,Qwen3.7-Max,153.74,151.76,156.09,2026-05-19,Alibaba,China,API access,Closed weights,
GPT-5.2,GPT-5.2,153.45,151.65,155.21,2025-12-11,OpenAI,United States of America,API access,Closed weights,
Gemini 3 Pro,Gemini 3 Pro,152.96,150.75,155.1,2025-11-18,Google DeepMind,United States of America,API access,Closed weights,
Claude Sonnet 4.6,Claude Sonnet 4.6,152.25,149.7,154.73,2026-02-17,Anthropic,United States of America,API access,Closed weights,
Muse Spark,Muse Spark,152.09,149.91,155.66,2026-04-08,Meta AI,United States of America,API access,Closed weights,
Grok 4.20,Grok 4.20,152.01,149.16,154.52,2026-02-17,xAI,United States of America,API access,Closed weights,
GLM-5.3-Flash,GLM-5.3-Flash,151.9,149.61,154.21,2026-08-20,Z.ai (Zhipu AI),China,Open weights (unrestricted),Open weights,
Gemini 3 Flash,Gemini 3 Flash,151.83,150.35,153.35,2025-12-17,Google DeepMind,United States of America,API access,Closed weights,
GLM-5.2,GLM-5.2,151.76,149.9,153.62,2026-06-16,Z.ai (Zhipu AI),China,Open weights (unrestricted),Open weights,
Kimi K2.6,Kimi K2.6,151.03,149.15,152.78,2026-04-20,Moonshot,China,Open weights (unrestricted),Open weights,
GPT-5 Pro,GPT-5 Pro,150.26,148.51,152.78,2025-10-07,OpenAI,United States of America,API access,Closed weights,
Inkling-Small,Inkling-Small,150.13,147.04,151.88,2026-07-15,Thinking Machines,United States of America,Open weights (unrestricted),Open weights,
Claude Opus 4.5,Claude Opus 4.5,150.1,147.91,152.74,2025-11-24,Anthropic,United States of America,API access,Closed weights,
Kimi K2.7 Code,Kimi K2.7 Code,150.01,148.13,151.68,2026-06-12,Moonshot,China,Open weights (unrestricted),Open weights,
GPT-5,GPT-5,150.0,,,2025-08-07,OpenAI,United States of America,API access,Closed weights,
GLM-5.1,GLM-5.1,149.86,147.89,151.58,2026-04-07,Z.ai (Zhipu AI),China,Open weights (unrestricted),Open weights,
GPT-5.1,GPT-5.1,149.66,148.15,151.04,2025-11-13,OpenAI,United States of America,API access,Closed weights,
Qwen 3.8 27B,Qwen 3.8 27B,149.38,147.43,151.29,2026-08-14,Alibaba,China,Open weights (unrestricted),Open weights,
Qwen 3.6 Max (Preview),Qwen 3.6 Max (Preview),149.27,147.51,152.14,2026-04-20,Alibaba,China,Unknown,Other,
DeepSeek-V4-Pro,DeepSeek-V4-Pro,149.14,147.47,150.82,2026-04-24,DeepSeek,China,Open weights (unrestricted),Open weights,
Grok 4.3 Beta,Grok 4.3 Beta,149.13,147.48,150.62,2026-04-17,xAI,United States of America,Hosted access (no API),Closed weights,
GPT-5.4 Mini,GPT-5.4 Mini,148.83,146.9,150.44,2026-03-17,OpenAI,United States of America,API access,Closed weights,
Inkling,Inkling,148.6,145.88,150.47,2026-07-15,Thinking Machines,United States of America,Open weights (unrestricted),Open weights,
Kimi K2.5,Kimi K2.5,148.05,146.21,149.3,2026-01-27,Moonshot,China,Open weights (unrestricted),Open weights,
Qwen 3.6 Plus,Qwen 3.6 Plus,147.67,145.18,149.52,2026-03-31,Alibaba,China,API access,Closed weights,
o3-pro,o3-pro,147.43,145.68,150.09,2025-06-10,OpenAI,United States of America,API access,Closed weights,
Qwen3.7-Plus,Qwen3.7-Plus,147.39,145.53,148.75,2026-06-02,Alibaba,China,API access,Closed weights,
MiniMax-M3,MiniMax-M3,147.0,142.93,149.66,2026-06-01,MiniMax,China,Open weights (restricted use),Open weights,
o3,o3,146.88,144.97,148.48,2025-04-16,OpenAI,United States of America,API access,Closed weights,
Claude Sonnet 4.5,Claude Sonnet 4.5,146.84,144.91,148.27,2025-09-29,Anthropic,United States of America,API access,Closed weights,
Qwen 3.5 Plus (hosted 397B-A17B),Qwen 3.5 Plus (hosted 397B-A17B),146.79,144.36,147.95,2026-02-16,Alibaba,China,Unknown,Other,
MiniMax-M2.5,MiniMax-M2.5,146.68,142.72,147.81,2026-02-12,MiniMax,China,Open weights (unrestricted),Open weights,
Qwen3.5 397B-A17B,Qwen3.5 397B-A17B,146.64,144.77,148.24,2026-02-13,Alibaba,China,Open weights (unrestricted),Open weights,
Qwen3.6 27B,Qwen3.6 27B,146.47,144.07,147.78,2026-04-22,Alibaba,China,Open weights (unrestricted),Open weights,
Grok 4,Grok 4,146.46,144.38,148.11,2025-07-09,xAI,United States of America,API access,Closed weights,
DeepSeek-V3.2,DeepSeek-V3.2,146.28,144.01,147.44,2025-12-01,DeepSeek,China,Open weights (unrestricted),Open weights,
Nemotron 3 Ultra,Nemotron 3 Ultra,146.2,143.83,148.06,2026-06-04,NVIDIA,United States of America,Open weights (unrestricted),Open weights,
DeepSeek-V4-Flash,DeepSeek-V4-Flash,146.1,143.44,147.78,2026-04-24,DeepSeek,China,Open weights (unrestricted),Open weights,
Kimi K2 Thinking,Kimi K2 Thinking,146.02,142.99,147.44,2025-11-06,Moonshot,China,Open weights (restricted use),Open weights,
GLM-5,GLM-5,145.84,143.74,147.68,2026-02-11,Z.ai (Zhipu AI),China,Open weights (unrestricted),Open weights,
MiniMax-M2.7,MiniMax-M2.7,145.84,138.39,147.9,2026-03-18,MiniMax,China,Open weights (non-commercial),Open weights,
GPT-5.4 Nano,GPT-5.4 Nano,145.78,143.44,147.6,2026-03-17,OpenAI,United States of America,API access,Closed weights,
o4-mini,o4-mini,145.63,143.16,147.29,2025-04-16,OpenAI,United States of America,API access,Closed weights,
GPT-5 mini,GPT-5 mini,145.51,143.48,147.04,2025-08-07,OpenAI,United States of America,API access,Closed weights,
Gemini 2.5 Pro (Jun 2025),Gemini 2.5 Pro (Jun 2025),145.32,143.42,146.87,2025-06-05,Google DeepMind,United States of America,API access,Closed weights,
Gemini 3.5 Flash-Lite,Gemini 3.5 Flash-Lite,145.12,142.3,146.71,2026-07-21,Google DeepMind,United States of America,API access,Closed weights,
DeepSeek-V3.2-Exp,DeepSeek-V3.2-Exp,145.02,142.33,146.93,2025-09-29,DeepSeek,China,Open weights (unrestricted),Open weights,
Qwen3.7 Flash,Qwen3.7 Flash,144.62,142.47,147.29,2026-07-27,Alibaba,China,API access,Closed weights,
Gemini 3.1 Flash-Lite,Gemini 3.1 Flash-Lite,144.45,142.27,145.94,2026-03-03,Google,United States of America,API access,Closed weights,
Grok 4 Fast,Grok 4 Fast,144.21,141.48,146.24,2025-09-19,xAI,United States of America,API access,Closed weights,
Gemini 2.5 Pro (Mar 2025),Gemini 2.5 Pro (Mar 2025),144.16,141.86,147.1,2025-03-31,Google DeepMind,United States of America,API access,Closed weights,
Claude Opus 4.1,Claude Opus 4.1,144.11,141.48,145.85,2025-08-05,Anthropic,United States of America,API access,Closed weights,
Qwen 3.5 Flash (hosted 35B-A3B),Qwen 3.5 Flash (hosted 35B-A3B),143.98,141.72,145.51,2026-02-25,Alibaba,China,Unknown,Other,
Qwen 3.6 35B-A3B,Qwen 3.6 35B-A3B,143.92,141.17,146.05,2026-04-14,Alibaba,China,Open weights (unrestricted),Open weights,
Qwen3-235B-A22B-Thinking (Jul 2025),Qwen3-235B-A22B-Thinking (Jul 2025),143.87,141.75,145.17,2025-07-25,Alibaba,China,Open weights (unrestricted),Open weights,
GLM-4.7,GLM-4.7,143.53,141.0,145.49,2025-12-22,Z.ai (Zhipu AI),China,Open weights (unrestricted),Open weights,
Qwen 3.6 Flash,Qwen 3.6 Flash,143.26,140.6,144.69,2026-04-27,Alibaba,China,Unknown,Other,
Gemini 2.5 Flash (Sep 2025),Gemini 2.5 Flash (Sep 2025),143.04,139.11,146.41,2025-09-25,Google DeepMind,United States of America,API access,Closed weights,
Gemma 4 31B IT,Gemma 4 31B IT,142.74,139.79,144.86,2026-04-02,Google DeepMind,United States of America,Open weights (restricted use),Open weights,
Claude Opus 4,Claude Opus 4,142.67,140.02,144.31,2025-05-22,Anthropic,United States of America,API access,Closed weights,
Qwen3.5-35B-A3B,Qwen3.5-35B-A3B,142.52,140.04,144.75,2026-02-24,Alibaba,China,Open weights (unrestricted),Open weights,
GPT-5.5 Instant,GPT-5.5 Instant,142.48,139.54,145.07,2026-05-05,OpenAI,United States of America,API access,Closed weights,
Gemini 2.5 Pro (May 2025),Gemini 2.5 Pro (May 2025),142.46,138.81,145.3,2025-05-06,Google DeepMind,United States of America,API access,Closed weights,
Claude Haiku 4.5,Claude Haiku 4.5,142.42,139.43,144.1,2025-10-15,Anthropic,United States of America,API access,Closed weights,
Qwen3-Max,Qwen3-Max,142.41,139.92,145.35,2025-09-24,Alibaba,China,API access,Closed weights,
o1,o1,141.92,139.54,143.26,2024-12-17,OpenAI,United States of America,API access,Closed weights,
Gemma 4 26B A4B,Gemma 4 26B A4B,141.85,138.22,143.51,2026-04-02,Google DeepMind,United States of America,Open weights (unrestricted),Open weights,
Claude Sonnet 4,Claude Sonnet 4,141.69,138.67,143.03,2025-05-22,Anthropic,United States of America,API access,Closed weights,
Gemini 2.5 Flash (May 2025),Gemini 2.5 Flash (May 2025),141.54,138.85,143.09,2025-05-20,Google DeepMind,United States of America,API access,Closed weights,
Mistral Medium 3.5,Mistral Medium 3.5,141.42,138.59,143.48,2026-04-28,Mistral AI,France,Open weights (restricted use),Open weights,
DeepSeek-R1 (May 2025),DeepSeek-R1 (May 2025),141.3,138.76,143.08,2025-05-28,DeepSeek,China,Open weights (unrestricted),Open weights,
Claude 3.7 Sonnet,Claude 3.7 Sonnet,141.16,138.54,142.79,2025-02-24,Anthropic,United States of America,API access,Closed weights,
Gemini 2.5 Flash (Jun 2025),Gemini 2.5 Flash (Jun 2025),140.8,138.15,142.35,2025-06-17,Google DeepMind,United States of America,API access,Closed weights,
Grok-3 mini,Grok-3 mini,140.35,137.42,142.08,2025-06-24,xAI,United States of America,API access,Closed weights,
o3-mini,o3-mini,140.35,136.72,141.81,2025-01-31,OpenAI,United States of America,API access,Closed weights,
Kimi K2 (Jul 2025),Kimi K2 (Jul 2025),140.13,136.09,142.22,2025-07-12,Moonshot,China,Open weights (restricted use),Open weights,
Gemini 2.5 Flash (Apr 2025),Gemini 2.5 Flash (Apr 2025),139.96,135.72,142.05,2025-04-17,Google DeepMind,United States of America,API access,Closed weights,
gpt-oss-120b,gpt-oss-120b,139.94,135.35,142.44,2025-08-05,OpenAI,United States of America,Open weights (unrestricted),Open weights,
DeepSeek-V3.1,DeepSeek-V3.1,139.92,135.27,143.22,2025-08-21,DeepSeek,China,Open weights (unrestricted),Open weights,
Qwen3-30B-A3B-Thinking (Jul 2025),Qwen3-30B-A3B-Thinking (Jul 2025),139.63,134.94,141.08,2025-07-30,Alibaba,China,Open weights (unrestricted),Open weights,
Qwen3.5-9B,Qwen3.5-9B,139.45,136.22,141.25,2026-02-24,Alibaba,China,Open weights (restricted use),Open weights,
GPT-5 nano,GPT-5 nano,139.39,134.5,141.45,2025-08-07,OpenAI,United States of America,API access,Closed weights,
Qwen3-235B-A22B,Qwen3-235B-A22B,139.36,135.24,140.8,2025-04-28,Alibaba,China,Open weights (unrestricted),Open weights,
DeepSeek-R1,DeepSeek-R1,138.98,135.97,140.4,2025-01-20,DeepSeek,China,Open weights (unrestricted),Open weights,
Qwen3-235B-A22B-Instruct (Jul 2025),Qwen3-235B-A22B-Instruct (Jul 2025),138.93,135.45,140.79,2025-07-25,Alibaba,China,Open weights (unrestricted),Open weights,
Qwen3-32B,Qwen3-32B,138.51,134.72,140.47,2025-04-29,Alibaba,China,Open weights (unrestricted),Open weights,
Grok 3,Grok 3,138.34,135.05,139.68,2025-04-09,xAI,United States of America,API access,Closed weights,
Qwen3-14B,Qwen3-14B,138.23,133.36,140.06,2025-04-29,Alibaba,China,Open weights (unrestricted),Open weights,
gpt-oss-20b,gpt-oss-20b,137.81,132.74,139.64,2025-08-05,OpenAI,United States of America,Open weights (unrestricted),Open weights,
QwQ-32B,QwQ-32B,137.6,131.88,141.38,2025-03-05,Alibaba,China,Open weights (unrestricted),Open weights,
DeepSeek-R1-Distill-Qwen-32B,DeepSeek-R1-Distill-Qwen-32B,137.43,126.78,138.85,2025-01-20,DeepSeek,China,Open weights (unrestricted),Open weights,
Qwen3-30B-A3B-Instruct (Jul 2025),Qwen3-30B-A3B-Instruct (Jul 2025),137.42,131.66,139.45,2025-07-29,Alibaba,China,Open weights (unrestricted),Open weights,
GPT-4.1,GPT-4.1,136.79,133.38,138.54,2025-04-14,OpenAI,United States of America,API access,Closed weights,
GPT-4.5,GPT-4.5,136.74,133.44,138.76,2025-02-27,OpenAI,United States of America,API access,Closed weights,
Qwen3-30B-A3B,Qwen3-30B-A3B,136.18,130.14,138.6,2025-04-29,Alibaba,China,Open weights (unrestricted),Open weights,
Qwen3-8B,Qwen3-8B,136.17,130.13,138.04,2025-04-28,Alibaba,China,Open weights (unrestricted),Open weights,
DeepSeek-V3 (Mar 2025),DeepSeek-V3 (Mar 2025),135.95,132.06,137.96,2025-03-24,DeepSeek,China,Open weights (restricted use),Open weights,
o1-mini,o1-mini,135.82,131.73,137.34,2024-09-12,OpenAI,United States of America,API access,Closed weights,
DeepSeek-R1-Distill-Qwen-14B,DeepSeek-R1-Distill-Qwen-14B,135.43,127.56,138.05,2025-01-20,DeepSeek,China,Open weights (unrestricted),Open weights,
Gemini 2.0 Flash Thinking (Jan 2025),Gemini 2.0 Flash Thinking (Jan 2025),135.36,129.63,137.99,2025-01-21,"Google DeepMind,Google",United States of America,API access,Closed weights,
Gemini 2.0 Pro,Gemini 2.0 Pro,135.06,130.73,136.96,2025-02-05,Google DeepMind,United States of America,Hosted access (no API),Closed weights,
GPT-4.1 mini,GPT-4.1 mini,135.01,130.64,136.67,2025-04-14,OpenAI,United States of America,API access,Closed weights,
o1-preview,o1-preview,134.78,130.03,137.96,2024-09-12,OpenAI,United States of America,API access,Closed weights,
Gemini 2.0 Flash (Dec 2024),Gemini 2.0 Flash (Dec 2024),134.71,124.89,136.53,2024-12-11,"Google DeepMind,Google",United States of America,API access,Closed weights,
Gemini 2.0 Flash (Feb 2025),Gemini 2.0 Flash (Feb 2025),134.69,130.51,136.7,2025-02-05,"Google DeepMind,Google",United States of America,API access,Closed weights,
Mistral Medium 3,Mistral Medium 3,134.07,129.32,135.44,2025-05-07,Mistral AI,France,API access,Closed weights,
Gemini 2.5 Flash-Lite (Jun 2025),Gemini 2.5 Flash-Lite (Jun 2025),133.93,129.55,136.27,2025-06-17,Google DeepMind,United States of America,API access,Closed weights,
Claude 3.5 Sonnet (October 2024),Claude 3.5 Sonnet (October 2024),133.55,128.58,138.02,2024-10-22,Anthropic,United States of America,API access,Closed weights,
Magistral Small 1.0,Magistral Small 1.0,133.19,128.75,134.52,2025-06-10,Mistral AI,France,Open weights (unrestricted),Open weights,
Qwen2.5-Max,Qwen2.5-Max,132.54,127.69,136.24,2025-01-25,Alibaba,China,API access,Closed weights,
DeepSeek-V3,DeepSeek-V3,132.36,126.39,135.6,2024-12-26,DeepSeek,China,Open weights (restricted use),Open weights,
Llama 4 Maverick,Llama 4 Maverick,132.2,127.5,133.91,2025-04-06,Meta AI,United States of America,Open weights (restricted use),Open weights,
Mistral Small 3.2,Mistral Small 3.2,131.73,125.66,133.92,2025-06-20,Mistral AI,France,Open weights (unrestricted),Open weights,
Gemini 1.5 Pro (Sept 2024),Gemini 1.5 Pro (Sept 2024),131.73,126.4,133.34,2024-09-24,Google DeepMind,United States of America,API access,Closed weights,
Magistral Small 1.2,Magistral Small 1.2,131.41,125.58,133.55,2025-09-18,Mistral AI,France,Open weights (unrestricted),Open weights,
Grok-2 (Dec 2024),Grok-2 (Dec 2024),130.48,125.0,132.16,2024-12-12,xAI,United States of America,API access,Closed weights,
Phi-4,Phi-4,130.43,124.49,132.3,2024-12-12,Microsoft Research,United States of America,Open weights (unrestricted),Open weights,
Gemma 3 27B,Gemma 3 27B,130.04,123.22,132.09,2025-03-12,Google DeepMind,United States of America,Open weights (restricted use),Open weights,
Claude 3.5 Sonnet,Claude 3.5 Sonnet,130.0,,,2024-06-20,Anthropic,United States of America,API access,Closed weights,
Llama 4 Scout,Llama 4 Scout,129.64,123.65,131.49,2025-04-05,Meta AI,United States of America,Open weights (restricted use),Open weights,
GPT-4.1 nano,GPT-4.1 nano,129.62,122.64,131.72,2025-04-14,OpenAI,United States of America,API access,Closed weights,
Gemini 1.5 Flash (Sep 2024),Gemini 1.5 Flash (Sep 2024),129.37,122.78,131.21,2024-09-24,Google DeepMind,United States of America,API access,Closed weights,
Qwen2.5-72B,Qwen2.5-72B,129.01,123.03,130.83,2024-09-19,Alibaba,China,Open weights (unrestricted),Open weights,
GPT-4o (May 2024),GPT-4o (May 2024),128.97,123.68,131.51,2024-05-13,OpenAI,United States of America,API access,Closed weights,
GPT-4o (Nov 2024),GPT-4o (Nov 2024),128.81,123.4,131.0,2024-11-20,OpenAI,United States of America,API access,Closed weights,
GPT-4o (Aug 2024),GPT-4o (Aug 2024),128.77,122.92,130.88,2024-08-06,OpenAI,United States of America,API access,Closed weights,
Llama 3.1-405B,Llama 3.1-405B,128.76,122.99,130.77,2024-07-23,Meta AI,United States of America,Open weights (restricted use),Open weights,
Qwen2.5-32B,Qwen2.5-32B,128.52,121.96,130.17,2024-09-17,Alibaba,China,Open weights (unrestricted),Open weights,
Mistral Large 2 (Nov 2024),Mistral Large 2 (Nov 2024),128.52,122.79,130.53,2024-11-18,Mistral AI,France,Open weights (non-commercial),Open weights,
Mistral Large 2 (Jul 2024),Mistral Large 2 (Jul 2024),127.54,121.7,129.71,2024-07-24,Mistral AI,France,Open weights (non-commercial),Open weights,
Mistral Small 3.1,Mistral Small 3.1,127.48,121.15,129.32,2025-03-17,Mistral AI,France,Open weights (unrestricted),Open weights,
Llama 3.3 70B,Llama 3.3 70B,127.32,121.63,129.59,2024-12-06,Meta AI,United States of America,Open weights (restricted use),Open weights,
GPT-4 Turbo (Apr 2024),GPT-4 Turbo (Apr 2024),127.25,121.31,128.88,2024-04-09,OpenAI,United States of America,API access,Closed weights,
Claude 3.5 Haiku,Claude 3.5 Haiku,127.15,120.4,129.96,2024-10-22,Anthropic,United States of America,API access,Closed weights,
Mistral Small 3,Mistral Small 3,127.06,120.92,128.89,2025-01-30,Mistral AI,France,Open weights (unrestricted),Open weights,
Claude 3 Opus,Claude 3 Opus,126.91,121.13,130.25,2024-02-29,Anthropic,United States of America,API access,Closed weights,
Gemini 1.5 Pro (May 2024),Gemini 1.5 Pro (May 2024),126.9,120.9,129.3,2024-05-14,Google DeepMind,United States of America,API access,Closed weights,
GPT-4o mini,GPT-4o mini,126.56,119.65,128.65,2024-07-18,OpenAI,United States of America,API access,Closed weights,
GPT-4 Turbo (Nov 2023),GPT-4 Turbo (Nov 2023),126.46,120.01,128.82,2024-01-25,OpenAI,United States of America,API access,Closed weights,
Llama 3.1-70B,Llama 3.1-70B,125.91,119.85,128.11,2024-07-23,Meta AI,United States of America,Open weights (restricted use),Open weights,
GPT-4 (Mar 2023),GPT-4 (Mar 2023),125.88,119.32,129.93,2023-03-14,OpenAI,United States of America,API access,Closed weights,
Llama 3.2 90B,Llama 3.2 90B,125.5,119.02,127.36,2024-09-24,Meta AI,United States of America,Open weights (restricted use),Open weights,
Qwen2-72B,Qwen2-72B,125.27,118.75,126.95,2024-06-07,Alibaba,China,Open weights (unrestricted),Open weights,
"DeepSeek-V2 (MoE-236B, May 2024)","DeepSeek-V2 (MoE-236B, May 2024)",124.78,117.84,128.1,2024-05-07,DeepSeek,China,Open weights (restricted use),Open weights,
Amazon Nova Pro,Amazon Nova Pro,123.75,109.68,126.76,2024-12-03,Amazon,United States of America,API access,Closed weights,
Gemma 3 12B,Gemma 3 12B,123.49,115.15,128.28,2025-03-12,Google DeepMind,United States of America,Open weights (restricted use),Open weights,
GPT-4 (Jun 2023),GPT-4 (Jun 2023),123.1,116.13,127.04,2023-06-13,OpenAI,United States of America,API access,Closed weights,
Llama 3-70B,Llama 3-70B,122.91,116.54,125.93,2024-04-18,Meta AI,United States of America,Open weights (restricted use),Open weights,
Gemini 1.5 Flash (May 2024),Gemini 1.5 Flash (May 2024),122.57,115.46,124.66,2024-05-23,Google DeepMind,United States of America,API access,Closed weights,
Gemma 2 27B,Gemma 2 27B,122.06,113.96,124.18,2024-06-24,Google DeepMind,United States of America,Open weights (restricted use),Open weights,
Mistral Large,Mistral Large,122.0,114.11,124.79,2024-02-26,Mistral AI,France,API access,Closed weights,
Mixtral 8x22B,Mixtral 8x22B,122.0,113.99,124.49,2024-04-17,Mistral AI,France,Open weights (unrestricted),Open weights,
phi-3-small 7.4B,phi-3-small 7.4B,121.79,113.63,124.99,2024-04-23,Microsoft,United States of America,Open weights (unrestricted),Open weights,
phi-3-medium 14B,phi-3-medium 14B,121.18,113.28,124.4,2024-04-23,Microsoft,United States of America,Open weights (unrestricted),Open weights,
Claude 3 Sonnet,Claude 3 Sonnet,120.69,112.65,123.51,2024-02-29,Anthropic,United States of America,API access,Closed weights,
Claude Instant,Claude Instant,120.2,111.75,122.93,2023-08-09,Anthropic,United States of America,API access,Closed weights,
Claude 2,Claude 2,120.08,112.47,123.57,2023-07-11,Anthropic,United States of America,API access,Closed weights,
Gemma 2 9B,Gemma 2 9B,119.78,110.65,122.62,2024-06-24,Google DeepMind,United States of America,Open weights (restricted use),Open weights,
Qwen2.5-Coder-32B,Qwen2.5-Coder-32B,119.41,109.66,124.76,2024-09-18,Alibaba,China,Open weights (unrestricted),Open weights,
Command R+,Command R+,119.28,109.13,125.48,2024-08-30,"Cohere,Cohere Labs (formerly Cohere for AI)",Canada,Open weights (non-commercial),Open weights,
Claude 2.1,Claude 2.1,119.22,111.18,122.03,2023-11-21,Anthropic,United States of America,API access,Closed weights,
Mistral NeMo,Mistral NeMo,118.63,109.83,121.46,2024-07-18,Mistral AI,France,Open weights (unrestricted),Open weights,
GPT-3.5 Turbo (Nov 2023),GPT-3.5 Turbo (Nov 2023),118.48,108.89,121.46,2023-11-06,OpenAI,United States of America,API access,Closed weights,
Qwen2.5-7B,Qwen2.5-7B,118.44,109.38,121.31,2024-09-19,Alibaba,China,Open weights (unrestricted),Open weights,
Mixtral 8x7B,Mixtral 8x7B,118.38,109.47,121.09,2023-12-11,Mistral AI,France,Open weights (unrestricted),Open weights,
Claude 3 Haiku,Claude 3 Haiku,118.3,109.7,121.41,2024-03-07,Anthropic,United States of America,API access,Closed weights,
Ministral 3B,Ministral 3B,118.08,105.84,121.58,2024-10-16,Mistral AI,France,API access,Closed weights,
Yi-34B,Yi-34B,117.28,108.06,120.52,2023-11-02,01.AI,China,Open weights (restricted use),Open weights,
phi-3-mini 3.8B,phi-3-mini 3.8B,117.23,106.44,120.79,2024-04-23,Microsoft,United States of America,Open weights (unrestricted),Open weights,
Stable Beluga 2,Stable Beluga 2,116.97,108.0,120.19,2023-07-20,Stability AI,United Kingdom,Open weights (non-commercial),Open weights,
Gemini 1.0 Pro,Gemini 1.0 Pro,116.97,108.46,119.71,2023-12-13,Google DeepMind,United States of America,API access,Closed weights,
Llama 3.1-8B,Llama 3.1-8B,116.48,105.22,121.48,2024-07-23,Meta AI,United States of America,Open weights (restricted use),Open weights,
Llama 3-8B,Llama 3-8B,116.33,106.66,119.33,2024-04-18,Meta AI,United States of America,Open weights (restricted use),Open weights,
